#Voltage (V)	Threshold (mV)	Triple	Doppie
700     40     114     3349    
720     40     194     3380
750     40     616     3393
770     40     1088    3339
780     40     1492    3461
800     40     2104    3294
820     40     2550    3333
850     40     3164    3322
900     40     3386    3398
950     40     3308    3327
1000    40     3239    3255
1050    40     3357    3368
1100    40     3348    3356
