#Voltage (V)	Threshold (mV)	Triple	Doppie
600     50      624     3943
625     50      1756    3898
637     50      2732    4058
650     50      3239    3845
662     50      3632    3868
675     50      3865    3986
700     50      3995    4057
725     50      3922    3972
737     50      3921    3951
750     50      3809    3825
762     50      3850    3878
775     50      4383    4408
800     50      4045    4058
825     50      4120    4135
850     50      4061    4082
875     50      4041    4060
900     50      3912    3926
925     50      3958    3975
950     50      4180    4197
