#Voltage (V)	Threshold (mV)	Triple	Doppie
750     40     5       3473
770     40     12      3339
800     40     25      3533
820     40     75      3394
850     40     237     3370
900     40     829     3334
920     40     1284    3473
950     40     2189    3389
970     40     2693    3332
1000    40     3159    3353
1010    40     3386    3497       
1020    40     3318    3388
1050    40     3373    3397
1100    40     3328    3349   
