Model,MSO2024
Firmware Version,1.39

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,2e+08,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.2,0.2
Label,,
TIME,CH1,CH2
-4.99239e-05,0.008,7.62939e-09
-4.99229e-05,0.008,-0.00799999
-4.99219e-05,0.008,7.62939e-09
-4.99209e-05,0.008,-0.00799999
-4.99199e-05,0.008,7.62939e-09
-4.99189e-05,0.008,7.62939e-09
-4.99179e-05,0.008,7.62939e-09
-4.99169e-05,0,-0.00799999
-4.99159e-05,0.008,7.62939e-09
-4.99149e-05,0.008,-0.00799999
-4.99139e-05,0.008,7.62939e-09
-4.99129e-05,0.008,-0.00799999
-4.99119e-05,0.008,7.62939e-09
-4.99109e-05,0,-0.00799999
-4.99099e-05,0.008,7.62939e-09
-4.99089e-05,0.008,-0.00799999
-4.99079e-05,0.008,7.62939e-09
-4.99069e-05,0.008,-0.00799999
-4.99059e-05,0.008,7.62939e-09
-4.99049e-05,0.008,-0.00799999
-4.99039e-05,0.008,7.62939e-09
-4.99029e-05,0.008,-0.00799999
-4.99019e-05,0.008,7.62939e-09
-4.99009e-05,0.008,-0.00799999
-4.98999e-05,0.008,7.62939e-09
-4.98989e-05,0.008,-0.00799999
-4.98979e-05,0.008,7.62939e-09
-4.98969e-05,0.008,-0.00799999
-4.98959e-05,0.008,7.62939e-09
-4.98949e-05,0.008,-0.00799999
-4.98939e-05,0.008,7.62939e-09
-4.98929e-05,0.008,-0.00799999
-4.98919e-05,0.008,7.62939e-09
-4.98909e-05,0,-0.00799999
-4.98899e-05,0.008,7.62939e-09
-4.98889e-05,0.008,-0.00799999
-4.98879e-05,0.008,7.62939e-09
-4.98869e-05,0.008,-0.00799999
-4.98859e-05,0.008,7.62939e-09
-4.98849e-05,0.008,-0.00799999
-4.98839e-05,0.008,7.62939e-09
-4.98829e-05,0.008,-0.00799999
-4.98819e-05,0.008,7.62939e-09
-4.98809e-05,0.008,-0.00799999
-4.98799e-05,0.008,7.62939e-09
-4.98789e-05,0.008,-0.00799999
-4.98779e-05,0.008,7.62939e-09
-4.98769e-05,0.008,-0.00799999
-4.98759e-05,0.008,7.62939e-09
-4.98749e-05,0.008,-0.00799999
-4.98739e-05,0.008,7.62939e-09
-4.98729e-05,0.008,-0.00799999
-4.98719e-05,0.016,7.62939e-09
-4.98709e-05,0.008,-0.00799999
-4.98699e-05,0.008,7.62939e-09
-4.98689e-05,0.008,-0.00799999
-4.98679e-05,0.008,7.62939e-09
-4.98669e-05,0.008,-0.00799999
-4.98659e-05,0.008,7.62939e-09
-4.98649e-05,0.008,-0.00799999
-4.98639e-05,0.008,7.62939e-09
-4.98629e-05,0.008,-0.00799999
-4.98619e-05,0.008,7.62939e-09
-4.98609e-05,0.008,-0.00799999
-4.98599e-05,0.008,7.62939e-09
-4.98589e-05,0.008,-0.00799999
-4.98579e-05,0.008,7.62939e-09
-4.98569e-05,0.008,-0.00799999
-4.98559e-05,0.008,7.62939e-09
-4.98549e-05,0.008,-0.00799999
-4.98539e-05,0.008,7.62939e-09
-4.98529e-05,0.008,-0.00799999
-4.98519e-05,0.008,7.62939e-09
-4.98509e-05,0.008,-0.00799999
-4.98499e-05,0.008,7.62939e-09
-4.98489e-05,0.008,-0.00799999
-4.98479e-05,0.008,7.62939e-09
-4.98469e-05,0.008,-0.00799999
-4.98459e-05,0.008,7.62939e-09
-4.98449e-05,0.008,-0.00799999
-4.98439e-05,0.008,7.62939e-09
-4.98429e-05,0.008,-0.00799999
-4.98419e-05,0.008,7.62939e-09
-4.98409e-05,0.008,-0.00799999
-4.98399e-05,0.008,7.62939e-09
-4.98389e-05,0.008,-0.00799999
-4.98379e-05,0.008,7.62939e-09
-4.98369e-05,0.008,-0.00799999
-4.98359e-05,0.008,7.62939e-09
-4.98349e-05,0.008,-0.00799999
-4.98339e-05,0.008,7.62939e-09
-4.98329e-05,0.008,-0.00799999
-4.98319e-05,0.008,7.62939e-09
-4.98309e-05,0,7.62939e-09
-4.98299e-05,0.008,7.62939e-09
-4.98289e-05,0,-0.00799999
-4.98279e-05,0.008,7.62939e-09
-4.98269e-05,0.008,-0.00799999
-4.98259e-05,0.008,7.62939e-09
-4.98249e-05,0.008,-0.00799999
-4.98239e-05,0.008,7.62939e-09
-4.98229e-05,0.008,-0.00799999
-4.98219e-05,0.008,7.62939e-09
-4.98209e-05,0.008,-0.00799999
-4.98199e-05,0.008,7.62939e-09
-4.98189e-05,0.008,-0.00799999
-4.98179e-05,0.008,7.62939e-09
-4.98169e-05,0.008,-0.00799999
-4.98159e-05,0.008,7.62939e-09
-4.98149e-05,0.008,-0.00799999
-4.98139e-05,0.008,7.62939e-09
-4.98129e-05,0.008,-0.00799999
-4.98119e-05,0.008,7.62939e-09
-4.98109e-05,0.008,-0.00799999
-4.98099e-05,0,7.62939e-09
-4.98089e-05,0.008,-0.00799999
-4.98079e-05,0,7.62939e-09
-4.98069e-05,0,-0.00799999
-4.98059e-05,0,7.62939e-09
-4.98049e-05,0,-0.00799999
-4.98039e-05,0.008,7.62939e-09
-4.98029e-05,0.008,-0.00799999
-4.98019e-05,0,7.62939e-09
-4.98009e-05,0,-0.00799999
-4.97999e-05,0,7.62939e-09
-4.97989e-05,0,-0.00799999
-4.97979e-05,0,7.62939e-09
-4.97969e-05,0.008,-0.00799999
-4.97959e-05,0.008,7.62939e-09
-4.97949e-05,0.008,-0.00799999
-4.97939e-05,0.008,7.62939e-09
-4.97929e-05,0.008,-0.00799999
-4.97919e-05,0.008,7.62939e-09
-4.97909e-05,0.008,-0.00799999
-4.97899e-05,0.008,7.62939e-09
-4.97889e-05,0.008,-0.00799999
-4.97879e-05,0.008,7.62939e-09
-4.97869e-05,0.008,-0.00799999
-4.97859e-05,0.008,7.62939e-09
-4.97849e-05,0.008,-0.00799999
-4.97839e-05,0.008,7.62939e-09
-4.97829e-05,0.008,-0.00799999
-4.97819e-05,0.008,7.62939e-09
-4.97809e-05,0.008,-0.00799999
-4.97799e-05,0.008,7.62939e-09
-4.97789e-05,0.008,-0.00799999
-4.97779e-05,0.008,7.62939e-09
-4.97769e-05,0.008,-0.00799999
-4.97759e-05,0.008,7.62939e-09
-4.97749e-05,0.008,-0.00799999
-4.97739e-05,0.008,7.62939e-09
-4.97729e-05,0.008,-0.00799999
-4.97719e-05,0.008,7.62939e-09
-4.97709e-05,0.008,-0.00799999
-4.97699e-05,0.008,7.62939e-09
-4.97689e-05,0.008,-0.00799999
-4.97679e-05,0.008,7.62939e-09
-4.97669e-05,0.008,-0.00799999
-4.97659e-05,0.008,7.62939e-09
-4.97649e-05,0.008,-0.00799999
-4.97639e-05,0.008,7.62939e-09
