#threshold (mV)	time (s)	count1
70		60		5403
80		60		4217
90		60		3447
100		60		2808
110		60		2478
120		60		2302
130		60              1899
140             60              1700
150             60              1415
160             60              1230
170             60              1023
180             60              831		
190		60		857
200		60		737
210		60		712
220		60		641
230		60		598
240		60		539
250		60		468
