#threshold (mV)	time (s)	count1
70		180		94
80		180		59
90		180		45
100		180		47
110		180		17
120		180		23
130		180		16
140             60              2
150             60              3
160             60              2
170             60              1
180             60              1
190		60		3
200		60		0
210		60		2
220		60		0
230		60              2
240		60		0	
250		60		0
