#threshold (mV)	time (s)	count1
70		60		35762
80		60              28137
90		60		23041
100		60              18254
110		60              15624
120		60              13395
130		60              10204
140		60              8426
150		60              6740
160		60              5746
170		60              4743
180		60              4227
190		180		11991
200		180		10665
210		180		9552
220		180		8442
230		180		8127
240		180		7422
250		180		7084
