#threshold (mV)	time (s)	count1
30              60              4137
40              60              2637
50              60              2005
60              60              1895
70		180		5517
80		180		5178
90		180		4776
100		180		4382
110		180		3723
120		180		3142
130		180		2636
140             60              946
150             60              832
160             60              684
170             60              565
180             60              498
190		60	        435
200		60		328
210		60		334
220		60		256
230		60		233
240		60		211
250		60		172
