#threshold (mV)	time (s)	count1
70		60		111
80		60		80
90		60		53
100		60		31
110		60		26
120		60		31
130		60		13
140             60              15
150             60              16
160             60              5
170             60              4
180             60              6
190		60		8
200		60		9
210		60		7
220		60		6
230		60		6
240		60		7
250		60		7
