#threshold (mV)	time (s)	count1
70		60		18463
80		60		14763
90		60		11909
100		60		8953
110		60		7135
120		60		6269
130		60		4903
140             60              4360
150             60              3868
160             60              3458
170             60              3020
180             60              2654
190		180		8132
200		180		7395
210		180		6952
220		180		6629
230		180		6341
240		180		6281
250		180		6144
