#threshold (mV)	time (s)	count1
70		180		103073
80		180		86131
90		180		75039
100		180		64920
110		180		58018
120		180		50112
130		180		43476
140		180		40566
150		180		34971
160		180		29804
170		180		25154
180		180		22922
190		180		19928
200		180		17601
210             180             14015
220             180             13081
230             180             12163
240             180             11072
250             180             10542
