#threshold (mV)	time (s)	count1
70		180		20736
80		180		14897
90		180		12330
100		180		10167
110		180		8953
120		180		7684
130		180		6678
140             60              2089
150             60              2042
160             60              1937
170             60              1889
180             60              1863
190		60		1843
200		60		1839
210		60		1814
220		60		1829
230		60		1821
240		60		1723
250		60		1637
