#threshold (mV)	time (s)	count1
70		60		1250
80		60		891
90		60		665
100		60		504
110		60		390
120		60		347
130		60              247
140             60              230
150             60              186
160             60              126
170             60              115
180             60              101		
190		60		100
200		60		86
210		60		76
220		60		68
230		60		55
240		60		49
250		60		41
