#Voltage (V)	Threshold (mV)	Triple	Doppie
700     120     211     3011       
710     120     276     2972
725     120     523     2997       
737     120     770     2976
750     120     1163    3054
762     120     1662    3007
775     120     2208    2985
800     120     2833    2995
825     120     2930    3048
850     120     2963    3041
875     120     3079    3140
900     120     3817    3825
950     120     3771    3782
1000    120     2861    2927
1050    120     2926    2992
