#Voltage (V)	Threshold (mV)	Triple	Doppie
750     40     51      3377
800     40     244     3297
820     40     520     3392
850     40     1133    3387
870     40     1626    3256    
900     40     2558    3312
910     40     2775    3321
920     40     3073    3401
950     40     3416    3484
970    	40     3443    3472
1000    40     3387    3408
1020    40     3407    3431
1050    40     3210    3231
1100    40     3393    3407
