#Voltage (V)	Threshold (mV)	Triple	Doppie
700     90      488     2866
710     90      795     3205
725     90      1279    2992  
737     90      1800    3059
750     90      2348    2989   
762     90      2819    3088
775     90      2866    3007
800     90      2870    2950
825     90      3003    3065
850     90      3791    3811  
875     90      3060    3131
900     90      2870    2977
950     90      2959    3028
1000    90      2915    2983
